SID,corr,p
sid1372,0.391006858809873,0.149553273253072
sid273,0.389359209319642,0.000251586202887
sid1144,0.388983713052261,1.48347320941439E-08
sid50,0.388111365794753,2.66245473971186E-08
sid210,0.387951000706959,1.45438568924412E-07
sid1739,0.386121024764345,1.42427801640197E-07
sid879,0.385996724533921,8.02685106099343E-08
sid1053,0.38542551774291,4.24973043193582E-06
sid1046,0.38349284478641,9.14177234094201E-07
sid855,0.383061973262629,2.97812743282523E-07
sid402,0.37747526502824,5.34743836511322E-07
sid729,0.377324846728375,6.98314562250036E-06
sid1815,0.374208426405946,5.67891549053509E-06
sid1924,0.373944136958512,4.91381386478336E-08
sid561,0.37363503766126,1.43594039942871E-06
sid1919,0.37347159958492,0.000129603281126
sid923,0.370726451325625,6.47419235468304E-07
sid76,0.370112592861915,3.47414168692157E-08
sid1365,0.366864742431477,3.25440087934097E-07
sid33,0.363177494046416,1.73538620636323E-05
sid821,0.362967358426773,6.86528322360823E-07
sid1779,0.36117891346344,8.33930113378777E-08
sid1477,0.361034731134917,0.000133236358015
sid55,0.36063836412756,1.55576232902634E-07
sid164,0.359742514816761,4.26475457148187E-07
sid393,0.356510358744618,2.60144336234566E-06
sid404,0.35595014720382,3.11419265230928E-06
sid189,0.355049079979111,2.01685568227572E-07
sid1970,0.353444128808816,6.2265626780776E-08
sid481,0.353351481234748,1.05677802205312E-05
sid1607,0.353309584169015,1.09344863693067E-07
sid1022,0.350031819550117,0.000154799032232
sid1764,0.348955006530556,2.73306567437676E-05
sid205,0.346482637683463,1.96266739838951E-05
sid340,0.345669261638851,1.57622142529339E-05
sid1493,0.344894551285224,1.99379246117209E-07
sid1264,0.344720740164069,6.17972218732771E-06
sid776,0.344399605027423,6.32648223508813E-07
sid1867,0.344216066493392,0.006154003042468
sid301,0.343568771098992,5.20819171268974E-07
sid127,0.3430040939338,1.35418468390129E-06
sid212,0.342252507973067,4.31876248399028E-06
sid165,0.341721446331238,3.36648005623986E-05
sid331,0.340066491671173,4.20580189154555E-05
sid337,0.338468276238097,0.00010597472424
sid1122,0.336749164809655,0.135520445308721
sid1198,0.336135424513543,2.40442528977074E-06
sid1160,0.329585491548375,0.000342517610414
sid1228,0.329020847041603,5.01581729364858E-05
sid590,0.327609131239361,2.4607663512902E-06
sid1199,0.326363634554376,1.40296871493524E-05
sid412,0.321295339760785,5.75793864863619E-05
sid616,0.319929112367172,2.61179381845856E-06
sid146,0.318409892751592,0.062297041534517
sid363,0.315292646494211,3.91878364109823E-05
sid1153,0.314798337086527,6.6242667358183E-05
sid1797,0.311937018900197,4.04729112974167E-06
sid603,0.311235152556016,5.85367151728583E-05
sid1959,0.310613732578708,0.00012866778117
sid163,0.310145907082754,0.000172509051549
sid1913,0.310108876408357,0.000112499798712
sid843,0.30963748504121,0.000135450519461
sid1890,0.309495009354874,1.71949208629912E-05
sid1418,0.308495714140123,2.51670664743386E-05
sid1188,0.307224758642555,0.000138313027813
sid1754,0.306689684403953,4.74782081527085E-05
sid1872,0.306657007604249,3.86296384983382E-05
sid764,0.303391613407838,0.004282373065355
sid1697,0.303309814325668,2.1008696441868E-05
sid1559,0.30224727726921,0.000366860574579
sid844,0.30101764472735,8.57853299399381E-06
sid1321,0.298964533690001,0.000116983882349
sid583,0.296860539596012,0.007495723747029
sid668,0.295900630998939,0.000571525538261
sid1056,0.295486663381153,1.54283813477411E-05
sid1621,0.29520688129373,0.016113101567957
sid1683,0.294616327514398,5.15665508445535E-05
sid297,0.293129714425517,0.000194746639728
sid1138,0.292700625558396,5.2753366129429E-05
sid1600,0.292678755200642,0.003284313805675
sid723,0.291996843170822,4.35514942603899E-05
sid534,0.291777752271834,0.000190205513253
sid1784,0.290883842200601,3.37164304083646E-05
sid1161,0.289913482031204,0.000562426632844
sid553,0.289543325770038,6.40176532448584E-05
sid1597,0.287317102604991,2.8227503176844E-05
sid893,0.286638686000249,0.000238119796351
sid351,0.286327780411333,2.40853813671476E-05
sid1445,0.286283865749864,4.33657806568339E-05
sid1829,0.285877392264945,0.005472170890622
sid1972,0.285627300846757,0.000453478148667
sid1475,0.282914600679826,0.000193749544432
sid1295,0.281575556704543,5.85334184310465E-05
sid1627,0.280635024960678,0.000285041428039
sid1549,0.279140568134726,3.91036812502113E-05
sid725,0.276257900658029,5.36512365459651E-05
sid971,0.275579108472553,0.004066187859705
sid489,0.274072830175932,0.000263414694944
sid1460,0.273968893576581,0.00135897650909
sid602,0.273597200984252,0.001216488552906
sid1516,0.272970212821974,0.000236954749724
sid420,0.272693376213912,0.000411400840846
sid1076,0.270846634717152,0.001068633917741
sid1631,0.269679765754218,0.000205468837993
sid1686,0.269316938209447,2.54229746370791E-05
