var mean se_mean sd 2.5% 25% 50% 75% 97.5% n_eff Rhat
alpha[70,1] 0.54 0.00014 0.00025 0.54 0.54 0.54 0.54 0.54 3 1.93
alpha[71,1] -0.18 0.00098 0.0022 -0.19 -0.18 -0.18 -0.18 -0.18 5 1.46
alpha[72,1] -0.63 0.00038 0.0008 -0.63 -0.63 -0.63 -0.63 -0.63 4 1.57
b[1,1] 0.5 0.00013 0.00025 0.5 0.5 0.5 0.5 0.5 4 1.88
b[2,1] 0.25 5.7E-05 0.00014 0.25 0.25 0.25 0.25 0.25 6 1.26
b[3,1] 0.58 0.00012 0.00023 0.58 0.58 0.58 0.58 0.58 4 1.62
b[4,1] 1.45 0.00045 0.00081 1.45 1.45 1.45 1.45 1.45 3 2
b[5,1] 0.35 0.00018 0.00037 0.35 0.35 0.35 0.35 0.36 4 1.61
b[6,1] 6.26 0.00095 0.0025 6.26 6.26 6.26 6.26 6.27 7 1.18
b[7,1] 4.36 0.001 0.0019 4.36 4.36 4.36 4.36 4.37 4 1.94
b[8,1] 0.19 3.9E-05 8.8E-05 0.19 0.19 0.19 0.19 0.19 5 1.41
b[9,1] 4.14 0.00072 0.0018 4.13 4.13 4.14 4.14 4.14 6 1.5
b[10,1] 0.2 1.5E-05 4.8E-05 0.2 0.2 0.2 0.2 0.2 11 1
b[11,1] 7.03 0.0013 0.0025 7.02 7.03 7.03 7.03 7.03 4 1.62
b[12,1] 0.97 0.00014 0.00034 0.97 0.97 0.97 0.97 0.97 6 1.03
b[13,1] 0.14 2.6E-05 7.4E-05 0.14 0.14 0.14 0.14 0.14 8 0.98
b[14,1] 3.31 0.00081 0.0014 3.31 3.31 3.31 3.31 3.32 3 1.96
b[15,1] 0.29 2.4E-05 7.3E-05 0.29 0.29 0.29 0.29 0.29 9 1.01
b[16,1] 6.04 0.00072 0.0017 6.04 6.04 6.04 6.04 6.04 5 1.4
b[17,1] 0.53 0.00016 0.00027 0.53 0.53 0.53 0.53 0.53 3 1.92
b[18,1] 4.81 0.001 0.0022 4.8 4.81 4.81 4.81 4.81 4 1.45
b[19,1] 0.75 0.00018 0.00041 0.75 0.75 0.75 0.75 0.75 5 1.42
b[20,1] 0.93 0.00011 0.0003 0.93 0.93 0.93 0.93 0.93 8 1.07
b[21,1] 0.5 5.9E-05 0.00014 0.5 0.5 0.5 0.5 0.5 6 1.37
b[22,1] 0.59 0.00011 0.00029 0.59 0.59 0.59 0.59 0.59 7 0.98
b[23,1] 0.45 8.4E-05 0.00017 0.45 0.45 0.45 0.45 0.45 4 1.42
b[24,1] 2.27 0.00039 0.0012 2.27 2.27 2.27 2.27 2.28 9 1.07
b[25,1] 3.65 0.0035 0.0071 3.64 3.65 3.65 3.65 3.67 4 1.64
b[26,1] 0.33 7.6E-05 0.00015 0.33 0.33 0.33 0.33 0.33 4 1.53
b[27,1] 0.53 0.00015 0.00027 0.53 0.53 0.53 0.53 0.53 3 1.64
b[28,1] 0.88 0.00027 0.00049 0.88 0.88 0.88 0.88 0.88 3 1.88
b[29,1] 0.78 9.6E-05 0.0003 0.78 0.78 0.78 0.78 0.78 10 1.02
b[30,1] 4.5 0.0014 0.0034 4.49 4.49 4.49 4.5 4.5 6 1.39
b[31,1] 1.4 0.00023 0.00063 1.4 1.4 1.4 1.4 1.4 7 1.05
b[32,1] 4.01 0.00059 0.0013 4.01 4.01 4.01 4.01 4.02 5 1.6
b[33,1] 4.01 0.00036 0.001 4.01 4.01 4.01 4.01 4.01 8 1.29
b[34,1] 0.15 2E-05 4.7E-05 0.15 0.15 0.15 0.15 0.15 5 1.52
b[35,1] 1.58 0.00028 0.0007 1.58 1.58 1.58 1.58 1.58 6 1.34
b[36,1] 0.67 0.00022 0.00046 0.67 0.67 0.67 0.67 0.67 5 1.54
b[37,1] 0.79 0.00019 0.00035 0.79 0.79 0.79 0.79 0.79 4 1.48
b[38,1] 0.26 1.5E-05 4.9E-05 0.26 0.26 0.26 0.26 0.26 11 1.19
b[39,1] 0.26 7.5E-05 0.00017 0.26 0.26 0.26 0.26 0.26 5 1.08
b[40,1] 1.26 0.00018 0.00047 1.26 1.26 1.26 1.26 1.26 7 1.05
b[41,1] 0.33 5.3E-05 0.00014 0.33 0.33 0.33 0.33 0.33 7 1.12
b[42,1] 0.21 3.1E-05 7.8E-05 0.21 0.21 0.21 0.21 0.21 6 1.14
b[43,1] 0.36 2.4E-05 7.4E-05 0.36 0.36 0.36 0.36 0.36 10 1.09
b[44,1] 0.38 0.00011 0.00023 0.38 0.38 0.38 0.38 0.38 4 1.42
